name,entity_type,naics_code,address,city,state,zip,lca_filing_count,approval_count,building_score,building_flags,in_target_band,size_confidence,job_titles,review_status,first_seen,last_seen
SEVIS SYSTEMS LLC.,LLC,541511,1201 W. 15TH STREET SUITE 300,PLANO,TX,75075,1,,,[],true,low,"[""SOFTWARE QUALITY ASSURANCE ENGINEER""]",auto,2026-06-07,2026-06-07
AWNSolution LLC,LLC,541511,3490 US Highway 1 Suite 109,Princeton,TX,08540,1,,,[],true,low,"[""SAP Functional Consultant""]",auto,2026-06-07,2026-06-07
ActiveTech IT Solutions LLC,LLC,541511,"608 E Hickory street Suite # 128",Denton,TX,76205,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Infinity Software LLC,LLC,541511,12407 Autumn Crest Dr,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Datalibs LLC,LLC,541512,17304 Preston Road Suite 800,Dallas,TX,75252,1,,,[],true,low,"[""System Engineer""]",auto,2026-06-07,2026-06-07
Aspire Digital LLC,LLC,541512,9600 Great Hills Trail Suite 150W,Austin,TX,78759,1,,,[],true,low,"[""Computer Programmer""]",auto,2026-06-07,2026-06-07
Arka Services LLC,LLC,541511,1620 Red Bud Lane Suite 211,Round Rock,TX,78664,1,,,[],true,low,"[""DevOps Engineer""]",auto,2026-06-07,2026-06-07
STEPINSIGHT LLC,LLC,541511,5900 Balcones Drive STE 100,Austin,TX,78731,1,,,[],true,low,"[""Project Manager""]",auto,2026-06-07,2026-06-07
SOCIUS INNOVATIVE GLOBAL BRAINS LLC,LLC,518210,6671 SOUTHWEST FWY SUITE 700,HOUSTON,TX,77074,1,,,[],true,low,"[""CHIEF OPERATIONS OFFICER""]",auto,2026-06-07,2026-06-07
INFOBLITZ TECH SOLUTIONS LLC,LLC,541511,"5900 BALCONES DR #8492",AUSTIN,TX,78731,1,,,[],true,low,"[""Finance Analyst""]",auto,2026-06-07,2026-06-07
Ellym LLC,LLC,541511,5900 Balcones Drive Suite 100,Austin,TX,78731,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
FORTUNE FOUR TECH SOLUTIONS LLC,LLC,541511,13455 Marmolada Dr,Frisco,TX,75035,1,,,[],true,low,"[""Senior Development  Engineer""]",auto,2026-06-07,2026-06-07
AZORY TECH LLC,LLC,541511,"4425 West Airport FWY Suite   138,","Irving,",TX,75062,1,,,[],true,low,"[""FULL STACK JAVA/J2EE DEVELOPER""]",auto,2026-06-07,2026-06-07
"TowWorks, LLC",LLC,541511,1716 Washington Ave. G,Houston,TX,77007,1,,,[],true,low,"[""Junior Software Developer""]",auto,2026-06-07,2026-06-07
ADAPTRA LLC,LLC,541511,1303 W.Walnut Hill Ln Suite 352,Irving,TX,75038,1,,,[],true,low,"[""Business Analyst""]",auto,2026-06-07,2026-06-07
Verittsoft LLC,LLC,541511,13345 Marmolada Dr,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"LedgerSpace, LLC",LLC,518210,3515 LONGMIRE DR STE 157,COLLEGE STATION,TX,77845,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
DATA FORCE  - INC LLC,LLC,541511,"17304 PRESTON RD SUITE # 828",DALLAS,TX,75252,1,,,[],true,low,"[""SYSTEMS ENGINEER""]",auto,2026-06-07,2026-06-07
FORTEWIZ SYSTEMS LLC,LLC,541511,21040 Highland Knolls Dr STE200-421,Katy,TX,77450,1,,,[],true,low,"[""WEB DEVELOPER""]",auto,2026-06-07,2026-06-07
VGTS LLC,LLC,54151,7007 Split Rein Rd.,Frisco,TX,75036,1,,,[],true,low,"[""Senior Consultant""]",auto,2026-06-07,2026-06-07
AIWEBIT LLC,LLC,541511,"6201 Windhaven Parkway Apt # 2712",Plano,TX,75093,1,,,[],true,low,"[""BizOps Enginner""]",auto,2026-06-07,2026-06-07
Sharpwhiz Corporation LLC,LLC,541511,5900 Balcones Drive Ste. 100,Austin,TX,78731,1,,,[],true,low,"[""Devops Engineer""]",auto,2026-06-07,2026-06-07
Meat Mafia Media LLC,LLC,516210,10415 Old Manchaca Road Suite 201,Austin,TX,78748,1,,,[],true,low,"[""Head of Podcast & Media Production""]",auto,2026-06-07,2026-06-07
Worldtech IT LLC,LLC,541512,"3612 Thompson St, Suite  2",Austin,TX,78702,1,,,[],true,low,"[""ADC Engineer""]",auto,2026-06-07,2026-06-07
Miracle Treasures LLC,LLC,541511,28211 Enchanted Shores Lane,Fulshear,TX,77441,1,,,[],true,low,"[""SAP Project Systems Consultant""]",auto,2026-06-07,2026-06-07
"Claims-X-Change, LLC",LLC,541511,14200 Midway Rd STE 106,Dallas,TX,75244,1,,,[],true,low,"[""Senior Compliance Analyst""]",auto,2026-06-07,2026-06-07
Database Mart LLC,LLC,518210,257 Westwood Dr.,League City,TX,77573,1,,,[],true,low,"[""Data Scientist""]",auto,2026-06-07,2026-06-07
Litigiven LLC,LLC,513210,12750 Merit Drive Suite 910,Dallas,TX,75251,1,,,[],true,low,"[""Mid-Level UI Designer""]",auto,2026-06-07,2026-06-07
Simplifi Holdings LLC,LLC,51321,128 E. Exchange Avenue Suite 700,Fort Worth,TX,76164,1,,,[],true,low,"[""Data Engineer""]",auto,2026-06-07,2026-06-07
"Iodine Software, LLC",LLC,541512,6850 Austin Center Blvd Suite 230,Austin,TX,78731-3201,1,,,[],true,low,"[""Senior Software Development Engineer in Test""]",auto,2026-06-07,2026-06-07
"Event Dynamic, LLC",LLC,541519,3102 Oak Lawn Ave. Suite 725,Dallas,TX,75219,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
SignalPet LLC,LLC,54151,"13101 Preston Road, #110-313",Dallas,TX,75240,1,,,[],true,low,"[""Customer Success Manager""]",auto,2026-06-07,2026-06-07
"Math Made Visible, LLC",LLC,513210,1317 Old Pin Oak Rd,Paige,TX,78659,1,,,[],true,low,"[""Learning Research and Design Specialist""]",auto,2026-06-07,2026-06-07
Admirable Technologies LLC,LLC,541511,2261 Gattis school Rd unit 205,Round Rock,TX,78664,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Liberate Life Sciences Technologies, LLC.",LLC,541512,9812 Morgan Creek Drive,Austin,TX,78717,1,,,[],true,low,"[""Validation Engineer""]",auto,2026-06-07,2026-06-07
"Devwise, LLC",LLC,541511,"315 Addicks Howell Rd #940025",Houston,TX,77094,1,,,[],true,low,"[""Sr Stibo Solution Architect""]",auto,2026-06-07,2026-06-07
"Particle41, LLC.",LLC,541511,209 Driscoll Lane,Frisco,TX,75068,1,,,[],true,low,"[""Lead Software Engineer""]",auto,2026-06-07,2026-06-07
ABSOLUTE FABRICATION LLC,LLC,541511,7218  Clinton Dr,Houston,TX,77020,1,,,[],true,low,"[""PRODUCTION ENGINEER""]",auto,2026-06-07,2026-06-07
Connexa Technologies LLC,LLC,541511,7500 Rialto Blvd Suite 1-250,Austin,TX,78735,1,,,[],true,low,"[""Business Solutions Architect""]",auto,2026-06-07,2026-06-07
Innovate TechLabs LLC,LLC,541511,8951 Cypress Waters Boulevard Ste 160,Coppell,TX,75019,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
KENAI SOLUTIONS LLC,LLC,541511,5310 ALPHA ROAD,DALLAS,TX,75240,1,,,[],true,low,"[""DATA SCIENTIST""]",auto,2026-06-07,2026-06-07
VSSIQ Solutions LLC,LLC,541511,2413 Milan Meadows Dr,Leander,TX,78641,1,,,[],true,low,"[""Project Manager""]",auto,2026-06-07,2026-06-07
FreePress LLC,LLC,516210,3112 Windsor Rd Ste. A391,Austin,TX,78703,1,,,[],true,low,"[""Full Stack Engineer""]",auto,2026-06-07,2026-06-07
SourceHOV LLC,LLC,54151,2701 E Grauwyler Road,Irving,TX,75061,1,,,[],true,low,"[""Applications Software Developer""]",auto,2026-06-07,2026-06-07
"aMind Solutions, LLC d.b.a. ArganoaMind",LLC,541511,6100 W. Plano Parkway Ste. 1800,Plano,TX,75093,1,,,[],true,low,"[""Sr Technical Consultant""]",auto,2026-06-07,2026-06-07
