name,entity_type,naics_code,address,city,state,zip,lca_filing_count,approval_count,building_score,building_flags,in_target_band,size_confidence,job_titles,review_status,first_seen,last_seen
GME Entertainment LLC,LLC,511210,,Grapevine,TX,76051,1,,,[],true,low,"[""VP of Engineering, Blockchain""]",auto,2026-06-07,2026-06-07
"ELM FieldSight, LLC",LLC,541512,,Lewisville,TX,75056,1,,,[],true,low,"[""Electrical Engineer""]",auto,2026-06-07,2026-06-07
"GeoSoftware, LLC",LLC,541512,,Houston,TX,77042,1,,,[],true,low,"[""Software Developer - Senior""]",auto,2026-06-07,2026-06-07
Techdots LLC,LLC,54151,,Plano,TX,75023,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Genesis X LLC,LLC,541511,,Austin,TX,78704,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Molathati Technology Solutions, LLC",LLC,541511,,Houston,TX,77092,1,,,[],true,low,"[""Programmer Analyst""]",auto,2026-06-07,2026-06-07
Kural Tech Solution LLC,LLC,541511,,Plano,TX,75025,1,,,[],true,low,"[""SAP Consultant - Software Developer""]",auto,2026-06-07,2026-06-07
"Pure Flux Technology Solutions, LLC",LLC,51121,,Spring,TX,77379,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Zinc LLC,LLC,54151,,Sugar Land,TX,77478,1,,,[],true,low,"[""Junior Systems Administrator""]",auto,2026-06-07,2026-06-07
Alpha Cognition LLC,LLC,541511,,Austin,TX,78753,1,,,[],true,low,"[""Engineer""]",auto,2026-06-07,2026-06-07
Topic Gurus LLC,LLC,511210,,Rockwall,TX,75087,1,,,[],true,low,"[""Senior Netsuite Architect""]",auto,2026-06-07,2026-06-07
"Triple Point Technology, LLC",LLC,541511,,Houston,TX,77010,1,,,[],true,low,"[""Senior Software Architect""]",auto,2026-06-07,2026-06-07
"Verity Services, LLC",LLC,5415,,The Woodlands,TX,77380,1,,,[],true,low,"[""Imaging Support Consultant""]",auto,2026-06-07,2026-06-07
