name,entity_type,city,state,zip,naics_code,lca_filing_count,in_target_band,size_confidence,review_status
Anrib LLC,LLC,St Louis,MO,63141,541511,1,true,low,auto
"Bordo AI, LLC",LLC,Chesterfield,MO,63017,541511,1,true,low,auto
Clearent LLC,LLC,Creve Coeur,MO,63141,541519,1,true,low,auto
"Element 74, LLC",LLC,Cape Girardeau,MO,63703,541511,1,true,low,auto
Enso Endeavors LLC,LLC,Kansas City,MO,64112,54151,1,true,low,auto
"Facilisgroup, LLC",LLC,Brentwood,MO,63144,541511,1,true,low,auto
Foresite Healthcare LLC,LLC,Maryland Heights,MO,63043,541512,1,true,low,auto
Gamer LLC,LLC,Maryland Heights,MO,63146,513210,1,true,low,auto
Gateway Scripts LLC,LLC,Saint Louis,MO,63116,541511,1,true,low,auto
"INTEGRATED MANAGED CARE SYSTEMS, LLC",LLC,CAPE GIRARDEAU,MO,63701,511210,1,true,low,auto
KKEG Solutions LLC,LLC,OFallon,MO,63366,541511,1,true,low,auto
"LOGICGRIDZ, LLC",LLC,ST LOUIS,MO,63146,541511,1,true,low,auto
Liberty Hotel Group LLC,LLC,Liberty,MO,64068,541511,1,true,low,auto
"Linxup, LLC",LLC,Chesterfield,MO,63017,51121,1,true,low,auto
"Liquid Logics, L.L.C.",LLC,Lee's Summit,MO,64064,541511,1,true,low,auto
"MetaJungle, LLC",LLC,Ozark,MO,65721,541511,1,true,low,auto
"Moktama IT Solutions, LLC.",LLC,Saint Louis,MO,63146,541519,1,true,low,auto
NEWGEN IT SOLUTIONS LLC,LLC,Farmington Hills,MO,48334,541511,1,true,low,auto
Newagez Technologies LLC,LLC,Harrisonville,MO,64701,541511,1,true,low,auto
PINNACLELINK VENTURES LLC,LLC,Saint Louis,MO,63112,541512,1,true,low,auto
"Segistics, LLC",LLC,North Kansas City,MO,64116,513210,1,true,low,auto
Sidjun LLC,LLC,Chesterfield,MO,63017,541511,1,true,low,auto
TEKPROS LLC,LLC,OFALLON,MO,63368,541511,1,true,low,auto
TM & Associates LLC,LLC,Saint Louis,MO,63110,541511,1,true,low,auto
"VIVID SITES, LLC",LLC,St. Louis,MO,63141,541511,1,true,low,auto
"VeriShip, LLC",LLC,Kansas City,MO,64114,541519,1,true,low,auto
Vizicar LLC,LLC,Columbia,MO,65202,54151,1,true,low,auto
"Volt Systems, LLC",LLC,St. Louis,MO,63131,541511,1,true,low,auto
"Web Design and Company, LLC",LLC,St. Louis,MO,63103,541511,1,true,low,auto
iTek360 LLC,LLC,Cape Girardeau,MO,63701,541512,1,true,low,auto
se38 Solutions LLC,LLC,Chesterfield,MO,63017,541511,1,true,low,auto
AYTECHNOLOGIES LLC,LLC,CHESTERFIELD,MO,63005,541511,2,true,low,auto
"Ascension Health Resource and Supply Management Group, LLC",LLC,St. Louis,MO,63146,541511,2,true,low,auto
"AutoAlert, LLC",LLC,Kansas,MO,64105,541511,2,true,low,auto
Bluspire Technologies LLC,LLC,Saint Charles,MO,63303,541511,2,true,low,auto
"CareSignal, LLC",LLC,St. Louis,MO,63110,541519,2,true,low,auto
DEVEIQ LLC,LLC,CHESTERFIELD,MO,63005,541511,2,true,low,auto
DST Brokerage Solutions LLC,LLC,Kansas City,MO,64105,511210,2,true,low,auto
Digital Plus Solutions LLC,LLC,Kansas City,MO,64131,54151,2,true,low,auto
"Ditat, LLC",LLC,Saint Louis,MO,63141,541511,2,true,low,auto
Foursevens LLC,LLC,St. Louis,MO,63146,541511,2,true,low,auto
"Jon Buck Enterprises, LLC",LLC,JOPLIN,MO,64801,541511,2,true,low,auto
KDK Technology LLC,LLC,Saint Peters,MO,63376,541512,2,true,low,auto
Kelly Mitchell Group LLC,LLC,St. Louis,MO,63105,541512,2,true,low,auto
"Rechars Solutions, LLC.",LLC,Chesterfield,MO,63005,541512,2,true,low,auto
"TierPoint, LLC",LLC,Saint Louis,MO,63131,518210,2,true,low,auto
Trizetto Provider Solutions LLC,LLC,Earth City,MO,63045,511210,2,true,low,auto
UNI CONNECTIONS LLC,LLC,BALLWIN,MO,63021,541511,2,true,low,auto
"Valorem Reply, LLC",LLC,Kansas City,MO,64108,5415,2,true,low,auto
"Aggio, LLC",LLC,St. Louis,MO,63132,51821,3,true,low,auto
Ashers & Aarons LLC,LLC,Ballwin,MO,63011,541511,3,true,low,auto
"DataMap, LLC",LLC,Kansas City,MO,64108,541512,3,true,low,auto
"Envision, LLC",LLC,St. Louis,MO,63141,541512,3,true,low,auto
Guga Technology Solutions LLC,LLC,Saint Joseph,MO,64506,541511,3,true,low,auto
"Local Backhaul Networks, LLC",LLC,St. Louis,MO,63005,541512,3,true,low,auto
Snow Tech Solutions LLC,LLC,Saint Peters,MO,63376,541511,3,true,low,auto
"Techso IT, LLC",LLC,St Charles,MO,63304,541511,3,true,low,auto
"The Burgiss Group, LLC",LLC,Hoboken,MO,07030,511210,3,true,low,auto
"Vantage Links, LLC",LLC,St. Louis,MO,63141,541512,3,true,low,auto
Mortgage NEKS LLC,LLC,Clayton,MO,63105,541511,4,true,low,auto
Nexify Infosystems LLC,LLC,Saint Charles,MO,63303,541511,4,true,low,auto
Omnigo Software LLC,LLC,St. Louis,MO,63132,541511,4,true,low,auto
Ethoca LLC,LLC,O’Fallon,MO,63368,541519,5,true,low,auto
Hire Soft Solutions LLC,LLC,O’Fallon,MO,63368,541511,5,true,low,auto
Zetta Data Systems LLC,LLC,Webster Groves,MO,63119-1784,541511,5,true,low,auto
"CODENETWORKZ, LLC",LLC,KANSAS CITY,MO,64114,541512,6,true,low,auto
HCM Square LLC,LLC,St Charles,MO,63304,54151,6,true,low,auto
Information Technology Warehouse LLC,LLC,St. Louis,MO,63132,54151,6,true,low,auto
"2nd Source IT Solutions, LLC",LLC,Plano,TX,75023,541511,1,true,low,auto
360 Technology LLC,LLC,Farmers Branch,TX,75244,541511,1,true,low,auto
A4 Global Tech LLC,LLC,Denton,TX,76205,541511,1,true,low,auto
ABSOLUTE FABRICATION LLC,LLC,Houston,TX,77020,541511,1,true,low,auto
ADAPTRA LLC,LLC,Irving,TX,75038,541511,1,true,low,auto
ADROIT AFFINE LLC,LLC,PHOENIX,TX,85027,54151,1,true,low,auto
AEHL US LLC,LLC,Austin,TX,78731,51821,1,true,low,auto
AGI FLUX LLC,LLC,Dallas,TX,75240,541511,1,true,low,auto
AI Pioneer LLC,LLC,Frisco,TX,75036,541511,1,true,low,auto
AI2AIGLOBAL LLC,LLC,HOUSTON,TX,77090,541511,1,true,low,auto
