name,entity_type,address,city,state,lca_filing_count
"PHOTON INFOTECH, INC.",CORP,12300 FORD ROAD SUITE B270,DALLAS,TX,855
MYTHRI CONSULTING LLC,LLC,"8668 JOHN HICKMAN PARKWAY SUITE #402",FRISCO,TX,325
ECOM Consulting Incorporated,CORP,2828 W. Parker Road Ste 224,Plano,TX,266
"Regal IT Services, Inc",CORP,633 E Fernhurst Dr Ste 904,KATY,TX,234
Advanced Resource Staffing Inc,CORP,"2695 Villa Creek Dr Suite #B130",Dallas,TX,215
"SBP Consulting, Inc.",CORP,1303 W. WALNUT HILL LANE SUITE 350,IRVING,TX,200
"SIRA Consulting, Inc.",CORP,6363 Richmond Avenue Suite 255,Houston,TX,195
AllPro Consulting LLC,LLC,"519 Haven Hill Dr.,",Katy,TX,183
TECHWAVE CONSULTING INC,CORP,"13501 KATY FWY SUITE # 1000",HOUSTON,TX,172
"4CONSULTING, INC",CORP,1050 West Campbell Road STE 100,Richardson,TX,153
Tektra IT Services Inc.,CORP,633 E Fernhurst Dr Suite 1303,Katy,TX,151
Vorizo Info Tech Inc,CORP,"Discovery Business Park, 715 Discovery Blvd Suite 211",Cedar Park,TX,150
TECHSTAR CONSULTING INC,CORP,222 WEST LAS COLINAS BLVD Suite 540 E,IRVING,TX,142
"EMC Consulting Group, Inc",CORP,"2591 Dallas Parkway, Suite 300",Frisco,TX,139
Damian Consulting Inc,CORP,5800 campus circle dr E suite  150 A,Irving,TX,128
NGTalentTech Group LLC,LLC,2695 Villa Creek Drive Suite B113,Farmers Branch,TX,126
SREE INFOTECH LLC,LLC,9901 EAST VALLEY RANCH PARKWAY SUITE 3008,IRVING,TX,124
LBV CONSULTING SERVICES LLC,LLC,"5000 Riverside Drive, Bldg. 6 Suite 100E",Irving,TX,123
"Texans IT Services, Inc.",CORP,633 E Fernhurst Dr Suite 1301,Katy,TX,115
"Yash & Lujan Consulting, Inc.",CORP,5750 Epsilon,San Antonio,TX,115
Global Bridge InfoTech Inc.,CORP,5525 N. MacArthur Blvd. Suite 670,Irving,TX,106
RK Infotech LLC,LLC,1000 Heritage Center Circle,Round Rock,TX,104
"S4 CONSULTANTS, INC.",CORP,1303 W. WALNUT HILL LN. SUITE 280,IRVING,TX,103
BENED SOFTWARE SERVICES INC,CORP,1200 W Walnut Hill Ln Suite 3800,Irving,TX,101
Cedent Consulting Inc.,CORP,"6847 Communications Pkwy, Suite #710 #710",Plano,TX,101
QUIDDITY INFOTECH LLC,LLC,"2601 Little Elm Parkway Suite # 704",Little Elm,TX,97
"Cognitus Consulting, LLC",LLC,14800 Quorum Drive Suite 525,Dallas,TX,92
Danta Infotech LLC,LLC,6401 Eldorado Pkwy Suite 111,McKinney,TX,91
"VIBRANT INFOTECH, INC.",CORP,"25663 SMOTHER MAN RD. BUILDING 300, STE. #306",FRISCO,TX,89
"i2 infotech, LLC",LLC,2695 Villa Creek Dr Suite 200,Dallas,TX,87
"ES Search Consultants, Inc",CORP,5005 W Royal Ln Ste 224,Irving,TX,85
Intalent LLC,LLC,555 Republic Dr STE 425,Plano,TX,82
Nortek Consulting INC,CORP,2300 Valleyview Lane SUITE 825,Irving,TX,76
"Tango Management Consulting, Inc.",CORP,9797 Rombauer Road Suite 450,Dallas,TX,74
TAITConsultingGroup LLC,LLC,3401 Custer Rd STE 104,Plano,TX,71
TRANSNATIONAL SOFTWARE SERVICES INC,CORP,12300 FORD RD SUITE B200,FARMERS BRANCH,TX,68
"Kaltech Consulting, Inc",CORP,400 E Royal lane building 3 Suite 290,Irving,TX,67
Konduru Consulting Services LLC,LLC,10011  Mallory Dr,Frisco,TX,65
SV Infotech Group Inc,CORP,"12300 Ford Rd Suite #B170",Farmers Branch,TX,63
NEXUS INFOTECH LLC,LLC,5669 Matterhorn Dr,Frisco,TX,62
"Adept Computer Consultants, Inc.",CORP,1303 W. Walnut Hill Lane Suite 360,Dallas,TX,59
"Gemini Consulting & Services, LLC",LLC,"3636 S. Geyer Rd., Ste. 270",Sunset Hills,MO,56
Flyhigh Staffing LLC,LLC,555 Republic Dr Suite 320,Plano,TX,55
CloudMellow Consulting Ltd. Co.,OTHER,5899 Preston Road Suite 1103,Frisco,TX,55
Zentech Consulting Inc,CORP,12880 Hillcrest Rd Suite J109,Dallas,TX,53
"Tecnics Consulting, Inc.",CORP,"5177 Richmond Ave., Suite #570",Houston,TX,51
